"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
1.73153975416392e-25,0.664129644230208,0.789,0.455,2.22676012385481e-22,"Cluster 2","Ptprj"
2.27344119923043e-25,0.548829425372513,0.606,0.253,2.92364538221034e-22,"Cluster 2","Kcnmb4"
2.42683633747357e-25,1.00494982976659,0.587,0.276,3.12091152999101e-22,"Cluster 2","Rorb"
4.72902646949389e-25,0.579433015551859,0.885,0.574,6.08152803976914e-22,"Cluster 2","Plekha6"
5.13447415715093e-25,0.527827151298454,0.972,0.648,6.60293376609609e-22,"Cluster 2","Itpr1"
7.4512014547687e-25,0.609407833527031,0.807,0.413,9.58224507083254e-22,"Cluster 2","Efna5"
8.58892710879904e-25,0.671297450466129,0.303,0.066,1.10453602619156e-21,"Cluster 2","Itga8"
1.03642651433309e-24,0.791698992088129,0.372,0.103,1.33284449743235e-21,"Cluster 2","Rasgef1c"
1.90661151211798e-24,0.535209307982413,0.94,0.738,2.45190240458372e-21,"Cluster 2","Nedd4l"
2.22209815631164e-24,0.64950460614946,0.615,0.259,2.85761822901677e-21,"Cluster 2","Slc9a9"
3.87918400256906e-24,0.560096202540106,0.876,0.524,4.98863062730381e-21,"Cluster 2","Rapgef5"
5.11217418728203e-24,0.641266572203697,0.596,0.253,6.57425600484468e-21,"Cluster 2","Kcnb2"
5.32371052093994e-24,0.557877929029758,0.968,0.772,6.84629172992877e-21,"Cluster 2","Gas7"
7.69246159771997e-24,0.662785800320222,0.569,0.233,9.89250561466788e-21,"Cluster 2","Tesc"
1.10837533483269e-23,0.645324466259912,0.67,0.307,1.42537068059485e-20,"Cluster 2","Nptx1"
1.17416463372726e-23,0.652591540233284,0.812,0.494,1.50997571897326e-20,"Cluster 2","Miat"
1.20212089096671e-23,0.582985131511112,0.885,0.595,1.54592746578319e-20,"Cluster 2","Tenm4"
1.48166422993537e-23,0.644966136206444,0.349,0.093,1.90542019969688e-20,"Cluster 2","Pou6f2"
2.63028688956237e-23,0.448037880631257,0.986,0.873,3.38254893997721e-20,"Cluster 2","Syt4"
2.9572415003636e-23,0.628164570008753,0.606,0.255,3.80301256946758e-20,"Cluster 2","Sorcs1"
3.56731172783961e-23,0.773507347571653,0.491,0.183,4.58756288200174e-20,"Cluster 2","Neat1"
3.61744496227741e-23,0.606466086385953,0.706,0.345,4.65203422148875e-20,"Cluster 2","Sphkap"
7.94634084866053e-23,0.413948309414446,0.995,0.943,1.02189943313774e-19,"Cluster 2","Atp2b1"
9.08040071362583e-23,0.567890405835244,0.477,0.169,1.16773953177228e-19,"Cluster 2","Trpc5"
9.79709374005684e-23,0.545070751343166,0.917,0.649,1.25990625497131e-19,"Cluster 2","Kcnb1"
1.40252371600213e-22,0.503184948291286,0.913,0.553,1.80364549877874e-19,"Cluster 2","Ralyl"
2.0500417721603e-22,0.507791043493042,0.917,0.62,2.63635371899815e-19,"Cluster 2","Vps13a"
2.10988360608248e-22,0.537191491789198,0.495,0.179,2.71331031742207e-19,"Cluster 2","Cadps2"
2.90101694787376e-22,0.529816085251167,0.817,0.446,3.73070779496566e-19,"Cluster 2","Sox5"
3.33237735872772e-22,0.556725977230725,0.697,0.329,4.28543728332385e-19,"Cluster 2","Gucy1a2"
4.19665724106484e-22,0.5630481287806,0.711,0.344,5.39690121200939e-19,"Cluster 2","Cdh12"
7.43234439021188e-22,0.759113326006983,0.702,0.383,9.55799488581248e-19,"Cluster 2","Pdp1"
1.03441088801685e-21,0.479942156030338,0.317,0.083,1.33025240198967e-18,"Cluster 2","Bicc1"
1.95745479336813e-21,0.557015561942598,0.931,0.678,2.51728686427141e-18,"Cluster 2","Sorl1"
2.64966503107156e-21,0.490887025117613,0.931,0.723,3.40746922995802e-18,"Cluster 2","Rasal2"
4.15715892725558e-21,0.512066505419538,0.596,0.256,5.34610638045068e-18,"Cluster 2","Xylt1"
4.89748936898059e-21,0.683926916654026,0.495,0.195,6.29817132850904e-18,"Cluster 2","Gpc6"
5.42573397385757e-21,0.666351019539376,0.408,0.143,6.97749389038084e-18,"Cluster 2","Rnf144a"
5.99769596124153e-21,0.631909751318581,0.661,0.339,7.7130370061566e-18,"Cluster 2","Tmem132d"
6.26164220310062e-21,0.639295857347261,0.862,0.555,8.0524718731874e-18,"Cluster 2","Snca"
8.02901888904347e-21,0.53015201633437,0.89,0.57,1.03253182913099e-17,"Cluster 2","Cdh10"
1.25420007747235e-20,0.647106012535983,0.817,0.53,1.61290129962944e-17,"Cluster 2","Nefl"
1.3127205939131e-20,0.52057480793782,0.908,0.612,1.68815868377225e-17,"Cluster 2","Prickle1"
1.68912843562306e-20,0.482468689162066,0.94,0.773,2.17221916821125e-17,"Cluster 2","Ryr2"
1.93801833929218e-20,0.602843649912529,0.633,0.314,2.49229158432974e-17,"Cluster 2","Rps6ka3"
2.29350292326064e-20,0.461807325335851,0.972,0.793,2.94944475931318e-17,"Cluster 2","Kcnip4"
2.38743642261494e-20,0.482920354708331,0.894,0.628,3.07024323948281e-17,"Cluster 2","Rimbp2"
2.53647408683978e-20,0.577218747864425,0.858,0.606,3.26190567567595e-17,"Cluster 2","Tenm2"
4.21483041471349e-20,0.407099249895268,1,0.939,5.42027191332154e-17,"Cluster 2","Mef2c"
